y_true,y_pred,residual
1366.0,1428.4067,-62.40673828125
1369.0,1433.8228,-64.82275390625
1309.0,1412.899,-103.8990478515625
1325.0,1405.2828,-80.2828369140625
1343.0,1413.3015,-70.301513671875
1361.0,1411.8004,-50.8004150390625
1407.0,1396.7319,10.26806640625
1385.0,1390.0828,-5.082763671875
1403.0,1344.0975,58.9024658203125
1415.0,1395.8809,19.119140625
1467.0,1405.0393,61.960693359375
1485.0,1416.1471,68.8529052734375
1489.0,1420.0187,68.9813232421875
